Description,Selection Return 01/04/1999 - 01/29/1999,Selection Return 02/01/1999 - 02/26/1999,Selection Return 03/01/1999 - 03/31/1999,Selection Return 04/01/1999 - 04/30/1999,Selection Return 05/03/1999 - 05/28/1999,Selection Return 06/01/1999 - 06/30/1999,Selection Return 07/01/1999 - 07/30/1999,Selection Return 08/02/1999 - 08/31/1999,Selection Return 09/01/1999 - 09/30/1999,Selection Return 10/01/1999 - 10/29/1999,Selection Return 11/01/1999 - 11/30/1999,Selection Return 12/01/1999 - 12/31/1999,Selection Return 01/03/2000 - 01/31/2000,Selection Return 02/01/2000 - 02/29/2000,Selection Return 03/01/2000 - 03/31/2000,Selection Return 04/03/2000 - 04/28/2000,Selection Return 05/01/2000 - 05/31/2000,Selection Return 06/01/2000 - 06/30/2000,Selection Return 07/03/2000 - 07/31/2000,Selection Return 08/01/2000 - 08/31/2000,Selection Return 09/01/2000 - 09/29/2000,Selection Return 10/02/2000 - 10/31/2000,Selection Return 11/01/2000 - 11/30/2000,Selection Return 12/01/2000 - 12/29/2000,Selection Return 01/02/2001 - 01/31/2001,Selection Return 02/01/2001 - 02/28/2001,Selection Return 03/01/2001 - 03/30/2001,Selection Return 04/02/2001 - 04/30/2001,Selection Return 05/01/2001 - 05/31/2001,Selection Return 06/01/2001 - 06/29/2001,Selection Return 07/02/2001 - 07/31/2001,Selection Return 08/01/2001 - 08/31/2001,Selection Return 09/04/2001 - 09/28/2001,Selection Return 10/01/2001 - 10/31/2001,Selection Return 11/01/2001 - 11/30/2001,Selection Return 12/03/2001 - 12/31/2001,Selection Return 01/02/2002 - 01/31/2002,Selection Return 02/01/2002 - 02/28/2002,Selection Return 03/01/2002 - 03/28/2002,Selection Return 04/01/2002 - 04/30/2002,Selection Return 05/01/2002 - 05/31/2002,Selection Return 06/03/2002 - 06/28/2002,Selection Return 07/01/2002 - 07/31/2002,Selection Return 08/01/2002 - 08/30/2002,Selection Return 09/03/2002 - 09/30/2002,Selection Return 10/01/2002 - 10/31/2002,Selection Return 11/01/2002 - 11/29/2002,Selection Return 12/02/2002 - 12/31/2002,Selection Return 01/02/2003 - 01/31/2003,Selection Return 02/03/2003 - 02/28/2003,Selection Return 03/03/2003 - 03/31/2003,Selection Return 04/01/2003 - 04/30/2003,Selection Return 05/01/2003 - 05/30/2003,Selection Return 06/02/2003 - 06/30/2003,Selection Return 07/01/2003 - 07/31/2003,Selection Return 08/01/2003 - 08/29/2003,Selection Return 09/02/2003 - 09/30/2003,Selection Return 10/01/2003 - 10/31/2003,Selection Return 11/03/2003 - 11/28/2003,Selection Return 12/01/2003 - 12/31/2003,Selection Return 01/02/2004 - 01/30/2004,Selection Return 02/02/2004 - 02/27/2004,Selection Return 03/01/2004 - 03/31/2004,Selection Return 04/01/2004 - 04/30/2004,Selection Return 05/03/2004 - 05/28/2004,Selection Return 06/01/2004 - 06/30/2004,Selection Return 07/01/2004 - 07/30/2004,Selection Return 08/02/2004 - 08/31/2004,Selection Return 09/01/2004 - 09/30/2004,Selection Return 10/01/2004 - 10/29/2004,Selection Return 11/01/2004 - 11/30/2004,Selection Return 12/01/2004 - 12/31/2004,Selection Return 01/03/2005 - 01/31/2005,Selection Return 02/01/2005 - 02/28/2005,Selection Return 03/01/2005 - 03/31/2005,Selection Return 04/01/2005 - 04/29/2005,Selection Return 05/02/2005 - 05/31/2005,Selection Return 06/01/2005 - 06/30/2005,Selection Return 07/01/2005 - 07/29/2005,Selection Return 08/01/2005 - 08/31/2005,Selection Return 09/01/2005 - 09/30/2005,Selection Return 10/03/2005 - 10/31/2005,Selection Return 11/01/2005 - 11/30/2005,Selection Return 12/01/2005 - 12/30/2005,Selection Return 01/03/2006 - 01/31/2006,Selection Return 02/01/2006 - 02/28/2006,Selection Return 03/01/2006 - 03/31/2006,Selection Return 04/03/2006 - 04/28/2006,Selection Return 05/01/2006 - 05/31/2006,Selection Return 06/01/2006 - 06/30/2006,Selection Return 07/03/2006 - 07/31/2006,Selection Return 08/01/2006 - 08/31/2006,Selection Return 09/01/2006 - 09/29/2006,Selection Return 10/02/2006 - 10/31/2006,Selection Return 11/01/2006 - 11/30/2006,Selection Return 12/01/2006 - 12/29/2006,Selection Return 01/03/2007 - 01/31/2007,Selection Return 02/01/2007 - 02/28/2007,Selection Return 03/01/2007 - 03/30/2007,Selection Return 04/02/2007 - 04/30/2007,Selection Return 05/01/2007 - 05/31/2007,Selection Return 06/01/2007 - 06/29/2007,Selection Return 07/02/2007 - 07/31/2007,Selection Return 08/01/2007 - 08/31/2007,Selection Return 09/04/2007 - 09/28/2007,Selection Return 10/01/2007 - 10/31/2007,Selection Return 11/01/2007 - 11/30/2007,Selection Return 12/03/2007 - 12/31/2007,Selection Return 01/02/2008 - 01/31/2008,Selection Return 02/01/2008 - 02/29/2008,Selection Return 03/03/2008 - 03/31/2008,Selection Return 04/01/2008 - 04/30/2008,Selection Return 05/01/2008 - 05/30/2008,Selection Return 06/02/2008 - 06/30/2008,Selection Return 07/01/2008 - 07/31/2008,Selection Return 08/01/2008 - 08/29/2008,Selection Return 09/02/2008 - 09/30/2008,Selection Return 10/01/2008 - 10/31/2008,Selection Return 11/03/2008 - 11/28/2008,Selection Return 12/01/2008 - 12/31/2008,Selection Return 01/02/2009 - 01/30/2009,Selection Return 02/02/2009 - 02/27/2009,Selection Return 03/02/2009 - 03/31/2009,Selection Return 04/01/2009 - 04/30/2009,Selection Return 05/01/2009 - 05/29/2009,Selection Return 06/01/2009 - 06/30/2009
AFBA 5Star Large Cap Growth I,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.150484,-0.236664,-3.480674,3.356157,1.080479,1.941853,-0.934066,1.02346,-0.974553,-1.565695,-1.182853,-1.823479,0.115164,3.840885,-2.936586,-0.655668,0.841426,-1.659143,1.258299,0.068039,-1.676135,1.073904,-0.298249,-0.381557,1.797707,0.537992,-0.726079,0.901356,0.651845,-0.231649,1.506885,0.091207,-0.741108,0.76742,-1.531374,-0.439277,-1.751297,-1.651827,0.162721,0.67753,0.279103,-1.57395,1.546742,-0.71969,-0.467044,1.617193,0.823173,-1.041716,-1.09086,-0.660889,-1.375288,0.466851,-0.037122,0.210451,-0.277254,0.124387,0.206594,0.421249,0.805413,-1.04061,-1.229742,-0.457189,-0.434379,1.206529,1.692942,0.180499,-0.404158,-2.024454,-0.654918,-0.501102,2.467993,3.848795,1.976439,-2.421284,4.406852,-6.036594,-1.457423,0.590638,0.26584,1.593281,3.104259,-4.9568,-2.013091,-0.172729,1.413248,-2.142123,-1.37783,-2.287117,-2.142373,-3.651763,-1.628993,-2.55162,-3.300228
AIM Constellation A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.628011,0.966631,-0.236464,-0.036341,-0.415726,0.916289,-0.407686,0.850024,1.374191,-1.196888,-0.391771,1.035072,1.517707,-2.265821,-0.8952,-0.625823,0.568076,-0.368773,-0.658415,-1.888454,-0.139353,0.146713,0.487725,-1.914667,0.876053,0.442521,-0.108871,-0.954083,-0.162,-0.834711,-0.714409,0.316226,0.787858,-0.48878,-1.149451,-0.013332,0.179119,-0.492288,-1.498567,-0.00063,-0.361986,-0.398248,-0.398891,-0.21215,-1.07111,-0.105597,0.463003,1.105579,0.658878,-0.770631,-0.274118,-0.015236,-0.767834,0.126898,-0.626421,-0.968739,-0.36239,-1.181651,-0.707825,1.020497,-2.096564,-0.661899,-0.200511,-0.75672,-0.920423,0.875579,0.044331,1.187345,-0.620999,-1.082673,0.746129,0.306061,0.192882,-1.110204,-0.480978,-3.144266,-1.268907,-1.159324,0.82759,1.451828,0.793737,-2.336953,-1.825495,-1.063416,-0.286813,-0.493117,0.421665,1.807771,-2.78114,-3.883944,-3.550334,0.056674,0.10894
AIM Large Cap Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.514213,0.09691,-0.756128,0.700634,-1.799123,0.972525,-2.099344,-0.017215,1.312476,-0.703672,0.139507,-0.103325,-1.063929,-4.533445,-0.037297,-0.746597,1.145672,0.743879,-0.101304,-0.266007,-0.378078,-0.711404,-0.057707,-0.692503,2.444542,0.295697,-0.764933,-0.58887,-0.864079,0.761953,-0.11251,1.540362,0.185374,-0.622894,0.009554,-0.028972,-2.30004,0.68438,-0.517884,0.082135,-0.698274,0.255683,-0.645989,0.547345,-0.138047,-1.618339,-0.563645,1.710129,1.003297,-0.207656,0.364832,0.184508,-1.47655,-0.550355,-1.407004,-0.538306,-0.013525,0.37901,-1.665572,0.238455,-1.219065,-1.302642,-0.062605,0.544586,-1.825552,0.385994,-0.300362,0.308946,-1.112642,-1.835429,0.654788,0.680042,1.425954,-0.088745,1.432627,-1.729397,-0.393813,-2.548059,1.616013,0.866715,0.243518,-1.019202,-1.009376,-1.009555,0.179726,-0.17579,1.451368,0.35539,-1.399972,-1.953407,-2.723083,-1.673213,0.499133
AIM Multi-Sector A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.074411,-1.696573,-0.335125,0.951677,0.45705,0.075452,-0.37044,0.716139,-0.894905,-0.76041,-1.033953,-1.183562,-0.67228,-0.36363,1.266481,0.259023,0.026202,-0.69931,0.599056,-0.594202,1.018541,-0.55232,-0.670481,1.582324,-0.390574,0.004099,-0.821348,0.076003,1.841091,-0.282628,0.46346,1.157184,0.74265,0.222023,1.7233,-1.409121,0.442369,-0.395889,0.196805,0.03162,-1.362735,-0.421485,0.590649,0.505485,-0.099225,-0.519044,-0.82766,-0.027278,-0.991775,-0.244625,0.031386,-0.983978,-0.82438,0.14038,-0.110163,0.311702,-0.076225,-0.154251,-0.101872,0.455717,0.704274,-1.429741,-0.186974,0.421797,0.437885,-0.355332,0.404616,1.128333,1.020879,-2.596809,1.070835,0.028145,1.027414,-3.756958,-2.215009,-1.042785,-0.135159,-1.216514,-0.891211,1.647696,-0.297818
AIM Structured Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.091071,1.10029,1.330628,0.55938,-0.658012,0.805387,0.544143,-0.373224,-0.961609,0.993498,-1.373895,0.969217,-1.247831,0.744889,-1.433698,-0.651916,-0.448713,-0.55613,1.017915,1.518075,1.76303,-2.646501,-0.42689,-0.042059,-0.837792,-1.500441,1.134063,-0.046156,-1.194624,-2.059685,-0.082265,-0.467756,0.526776,-1.113873,-0.022247,0.304386,-1.207136,-2.016222,-0.609317
AIM Summit P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.613145,0.066154,-1.407482,-0.793766,-2.518925,0.822086,-0.696751,0.106523,-0.362919,-0.746313,-0.034114,-0.294995,-2.155034,-1.718298,-1.847167,0.762176,-0.420727,0.465356,-0.831681,-0.137778,-0.307065,-0.575924,-0.699686,-0.394857,-1.033411,0.04782,1.046541,-0.385761,-0.139341,-0.354629,0.108964,0.538377,0.041399,-0.908067,-0.735984,0.062975,-1.46879,0.20658,-1.037753,1.246627,0.450691,-0.571081,-0.323838,0.355983,-0.9343,0.364693,-0.344142,0.000816,0.32603,-0.376865,0.189631,-0.267929,-2.179872,0.149802,0.14716,0.867483,-0.510155,-0.551044,-1.598756,-0.550549,0.584225,-1.296247,-0.654163,-1.104916,-0.624274,0.834819,0.448035,0.738931,-0.000469,-0.366726,1.280448,1.815633,-0.168042,1.159885,0.291905,-0.885499,0.657745,-0.420207,0.926659,1.619876,0.457064,-2.311654,-1.073024,-1.034364,-1.240046,-0.582024,-0.578318,1.362097,-2.642728,-2.664996,-4.078423,-0.103737,0.510687
Aberdeen US Equity A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.007321,3.352425,0.137348,4.997814,-7.978776,2.613181,1.111269,-0.785434,1.813628,8.006679,-4.171116,0.511572,1.556366,3.201284,-3.839407,3.278486,-1.365795,0.891223,5.038422,-0.0869,2.242512,-1.215544,-0.903893,2.14802,2.629258,0.083628,-2.038791,-1.597945,-1.073378,-0.063801,-2.037513,0.778335,1.927746,0.174401,-1.23557,1.097434,0.235675,0.246514,0.469531,-1.167234,0.730829,0.334898,-0.372791,0.522147,-0.205697,-0.936332,-1.254938,1.193419,1.268638,0.258892,-0.625143,-0.960548,0.474435,-3.223932,-0.853366,-0.365128,-1.778928,-2.015641,-1.087589,1.560713,-3.920318,0.103871,-0.836644,0.881165,-0.062654,1.094967,-0.816806,1.051518,0.310491,-2.761091,1.149256,2.075966,2.734337,-1.592537,3.15608,-2.482719,-1.055394,-0.785337,1.321977,-0.580671,0.212476,-0.531645,-0.853073,-1.42234,3.240243,-1.275465,-0.636163,1.19431,-0.237744,-1.288438,-0.275964,0.517859,-0.283401
Accessor Growth Instl,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.425179,0.302724,0.462888,0.622957,-0.706108,-0.165576,0.283306,0.268101,-0.463929,-0.900727,-0.070582,-0.148822,0.463606,-1.529504,-0.055382,-0.304532,0.293395,0.931558,-0.571705,-1.340349,-0.42628,-0.778023,-0.908669,0.55287,1.150006,0.084544,-0.517169,0.075852,0.112153,0.976063,0.599665,1.061073,1.101214,-0.62518,0.022714,1.80057,-1.046222,0.018271,-0.312908,0.417527,0.677146,-0.054279,0.066421,-0.474988,-1.378294,-0.088288,-0.091257,0.383024,0.229054,0.050391,0.243479,0.355646,-1.520889,-0.126395,-2.238934,-0.184005,-0.246712,0.351055,-0.41032,-0.215778,-1.692582,-1.181853,-0.42087,-1.065434,-0.940306,0.101795,-0.485516,-0.957116,-1.673191,-1.405217,-0.18496,0.646937,0.093483,-0.791611,1.307122,-2.184157,0.275626,-1.556073,1.205748,0.350999,1.556848,-1.295325,0.819933,0.45827,-0.726452,0.607673,-0.650041,0.309644,-1.719944,-1.135683,-0.706468,-0.436402,-0.274759
Activa Growth,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.936863,-0.015166,-0.280066,-2.257704,-1.386696,-1.150509,-0.185902,-0.684798,-0.8885,-0.42762,-0.029276,-0.955959,0.754503,-1.40214,-0.478218,-0.529449,0.418709,-0.039072,-0.667256,-0.799138,-0.319052,-0.15795,-0.723521,-0.362755,0.983107,-0.01447,-0.381126,-1.477502,-0.251087,0.58134,-0.909824,1.006147,0.387506,0.138145,-0.920018,1.222575,-0.014641,0.628528,0.407678,-0.763859,-2.342128,1.090608,0.464841,0.00355,0.129965,-1.141929,-0.822999,0.759666,1.426873,0.040362,0.405891,-0.246838,-1.282613,-0.726203,-0.727888,-0.865696,1.65306,-0.873307,-0.8853,0.363867,-0.915405,-0.060013,-1.5466,-0.022671,-0.855472,0.886567,-0.541735,0.36771,0.497945,-0.383688,0.325541,2.803021,0.291012,-0.419174,1.742513,-0.001132,-1.295193,0.992029,1.877393,0.104833,2.226817,0.75679,-1.530575,-0.949523,-1.62113,1.117784,-0.963276,0.173885,0.767976,0.226492,-2.570223,-1.006971,-0.003771
ActivePassive Large Cap Growth A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.009255,0.361942,-0.11703,1.514798,-0.602033,-1.375473,0.520973,0.168581,-0.876561,0.192961,0.0993,-1.582312,-0.650752,-0.223211,-1.964842,0.357056,-0.949645,0.354996
