"Description",01/31/99,02/28/99,03/31/99,04/30/99,05/31/99,06/30/99,07/31/99,08/31/99,09/30/99,10/31/99,11/30/99,12/31/99,01/31/00,02/29/00,03/31/00,04/30/00,05/31/00,06/30/00,07/31/00,08/31/00,09/30/00,10/31/00,11/30/00,12/31/00,01/31/01,02/28/01,03/31/01,04/30/01,05/31/01,06/30/01,07/31/01,08/31/01,09/30/01,10/31/01,11/30/01,12/31/01,01/31/02,02/28/02,03/31/02,04/30/02,05/31/02,06/30/02,07/31/02,08/31/02,09/30/02,10/31/02,11/30/02,12/31/02,01/31/03,02/28/03,03/31/03,04/30/03,05/31/03,06/30/03,07/31/03,08/31/03,09/30/03,10/31/03,11/30/03,12/31/03,01/31/04,02/29/04,03/31/04,04/30/04,05/31/04,06/30/04,07/31/04,08/31/04,09/30/04,10/31/04,11/30/04,12/31/04,01/31/05,02/28/05,03/31/05,04/30/05,05/31/05,06/30/05,07/31/05,08/31/05,09/30/05,10/31/05,11/30/05,12/31/05,01/31/06,02/28/06,03/31/06,04/30/06,05/31/06,06/30/06,07/31/06,08/31/06,09/30/06,10/31/06,11/30/06,12/31/06,01/31/07,02/28/07,03/31/07,04/30/07,05/31/07,06/30/07,07/31/07,08/31/07,09/30/07,10/31/07,11/30/07,12/31/07,01/31/08,02/29/08,03/31/08,04/30/08,05/31/08,06/30/08,07/31/08,08/31/08,09/30/08,10/31/08,11/30/08,12/31/08,01/31/09,02/28/09,03/31/09,04/30/09,05/31/09,06/30/09
"1838 Fixed Income Fund",-0.03,0.01,0.21,-0.23,-0.27,-0.32,0.05,0.04,0.23,-0.07,0.01,-0.29,-0.41,-0.09,-0.26,0.02,-0.01,0.05,-0.07,-0.08,0.45,-0.17,0.01,0.22,0.34,0.09,0.08,-0.07,0.07,-0.02,0.14,0.01,0.1,0.14,0.18,0.15,-0.45,-0.35,-0.27,-0.5,0.33,-0.53,0.3,-0.12,-0.13,0.04,0.36,0.23,0.09,0.04,-0.19,0.27,-0.2,0.16,0.11,0.17,-0.13,-0.18,0.18,-0.22,0,-0.03,-0.08,0.07,-0.05,-0.05,-0.04,-0.13,-0.09,-0.14,0.11,-0.11,0.01,-0.02,-0.2,-0.18,-0.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"1838 International Equity Fund",1.62,-0.19,-0.75,-0.34,1.12,1.38,0.36,2.29,-0.68,-1.41,3.91,2.48,-1.48,0.52,1.07,0.46,0.12,-1.22,0.28,-0.17,0.81,-0.46,0.39,-0.17,-0.13,0.82,0.49,-0.22,0.05,0.36,-0.46,-0.87,0.19,1,-0.59,-0.09,-0.16,0.21,-0.79,0.13,0.54,1.36,-0.68,0.38,-0.99,-0.7,-1.39,0.59,-0.29,0.37,1.4,-1.06,-1.14,-0.2,-0.67,-0.45,-0.48,-0.42,1.06,0.01,-0.53,0.22,0.24,0.82,0.1,-0.61,0.35,-0.63,0.83,0.14,0.77,-0.26,-0.04,0.96,0.02,0.01,0.82,0.16,1.44,0.43,0.6,-0.82,0.22,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"1838 Large Cap Equity Fund",-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.03,0.43,-0.29,0.52,-0.17,-0.07,1.16,-0.54,0.7,0,-2.86,-1.59,2.28,0.79,0.82,-2.05,-0.2,-0.24,1.06,0.34,-0.81,-1.51,-0.66,-0.35,-0.31,0.24,0.59,-2,-1.76,0.99,-2.33,-0.73,-1.03,-0.12,-0.13,-0.46,-0.53,-1.08,0.06,-0.16,0,0.7,-0.43,-1.32,-1.09,0.26,0.28,-1.03,0.11,-0.58,-1.07,-0.76,0.13,0.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"1838 Small Cap Equity Fund",-3.72,-3.33,-2.83,-2.99,2.35,0.53,-1.03,-5.76,-0.82,-2.13,1.8,-2.33,-5.05,-5.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"1st Source Monogram Diversified Equity Fund",-2.13,-0.21,-0.75,1.3,0.51,-0.19,-1.03,-1.54,-1.85,-0.62,-0.93,-0.52,-1.39,1,0.15,-1.44,-1.56,1.33,1.04,0.58,-0.65,0.02,0.39,-0.59,-0.06,-1.76,-1.12,-3.15,-0.55,-2.13,-0.18,-0.37,1.13,-0.83,-0.08,-0.9,-1.71,-0.72,0.11,-0.36,0.48,0.01,-1.2,-0.55,-0.31,-0.1,-1.21,0.22,-0.62,-0.34,-0.35,-0.38,-2.25,-0.51,0.84,-0.68,-0.42,-1.09,-1.58,-0.63,0.42,-0.21,-0.92,1.19,0.64,-0.53,-0.44,-0.62,0.64,-0.86,0.14,-0.55,0.26,-0.35,-1.05,-0.33,-0.08,-1.26,0.96,0.44,-1.19,-0.78,-0.19,-0.32,-1.64,-0.61,-0.41,-0.86,-1.37,-0.87,0.82,-0.44,-0.82,-0.56,0.16,-0.39,0.18,-0.86,-1.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"1st Source Monogram Special Equity Fund",-0.25,-2.71,-0.5,-7.95,0.37,1.08,0.25,-0.37,-0.76,1.52,4.06,2.05,1.17,3.42,4.2,-1.93,0.61,-0.43,-1.59,1.69,3.23,2.49,1.08,1.19,0.83,2.1,-0.68,-0.81,4.76,1.47,2.77,-0.46,4.44,-1.63,-0.51,2.88,1.65,-1.75,1.8,1.36,2.14,2.25,-1.06,-2,-0.91,-2.05,0.06,-0.74,1.25,-2.04,-2.22,0.54,2.12,1.81,-1.16,0.54,0.98,0.49,-0.81,-0.75,-1.56,-1.15,-2.67,-2.62,-0.05,-1.16,-2.13,-1.53,-1.5,-2.51,1.54,0.61,-0.57,0.59,-1.23,-1.87,-2.03,-1.69,0.58,-0.79,0.54,-0.32,0.23,-0.16,-0.32,0.75,1.27,-0.66,0.15,-1.92,0.07,-1.2,-0.44,0.24,-0.83,0.55,0.4,1.02,-0.24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"3 to 1 Diversified Equity",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.53,-1.44,-0.44,-0.75,-0.67,3.49,0.96,-2.7,-0.67,0.16,1.71,0.13,-2.27,-1.53,2.68,-3.03
"3 to 1 Strategic Income",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.99,-1.3,-0.85,1.31,-0.72,1.39,0.07,-0.26,-0.12,5.59,4.4,-0.7,-1.01,0.8,0.74,1.64
"300 North Capital Sm Cp Gr I",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.63,0.76,-1.17,-0.24,-2.39,2.25,-2.84,-0.55,2.61,-1.69,1.77,2.57,-2.14,-2.33,-1.3,0.34,-1.12,0.81,-0.34,-0.06,1.31,1.71,2.83,-1.31,0.88,0.49,-2.37,-0.32,-1.89,-0.67,-1.85,1.22,-1.16,-0.58,-2.03,0.38,0.59,-1.19,0.7,-0.7,-0.41,0.2,1.37,-0.18,0.05,-0.55,-1.27,-1.3,-0.69,-0.97,-0.72,0.09,1.73,0.38,0.56,0.21,0.25,-2.71,-0.97,-0.88,-1.42,1.29,0.4,2.39,-0.86,0.07,-0.96,-0.9,0.97,0.39,1.62,2.89,1.92,-1.4,-1.03,-3.05,-3.1,-3.37,1.02,-1.29,0.17,-4.6,-1.67,-1.18,1.98,1.42,2.65,-1.32,1.77,-2.41,-2.08,0.52,-999
"AAL Large Company Index II Fund/B",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.45,-0.98,-0.01,-0.12,-0.19,-0.59,0.14,0.03,-0.48,0.08,-0.24,-0.14,-0.47,-0.3,-0.02,-0.02,-0.18,-0.44,-0.28,-0.37,-0.43,-0.14,-0.24,-0.23,-0.02,0.19,0.02,0.05,-0.36,-0.09,0.15,-0.53,0.08,-0.05,-0.33,-0.2,0.2,-0.36,-0.22,-0.17,-0.29,0.02,0,-0.22,-0.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
